Page,Date,Time_Reported,Time_Occurred,Year,Incident_Type,Incident_Type_Clean,Location,Location_Clean,Address,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,
9,"April 21, 2026",04/21/2026 at 2:10 PM,04/21/2026 at 2:05 PM,2026,Larceny,Larceny,Forsyth Blvd,Forsyth Blvd,"Forsyth Blvd, St. Louis, MO",Assisted CPD with a larceny.,Referred to CPD,26-04-21-016791,27849,,,,,,,,,,,,
9,"April 20, 2026",04/22/2026 at 3:03 PM,04/20/2026 at 11:00 AM,2026,Harassment,Harassment,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports concerning communication.,Active,260172,27854,,,,,,,,,,,,
9,"April 18, 2026",04/18/2026 at 10:13 PM,04/18/2026 at 6:00 PM,2026,Motor Vehicle Theft,Stolen Vehicle,Givens Hall,Givens Hall,"Givens Hall, Washington University in St. Louis, MO",Complainant reports theft of electric scooter.,Active,260162,27818,,,,,,,,,,,,
9,"April 18, 2026",04/18/2026 at 10:13 PM,04/18/2026 at 6:00 PM,2026,Larceny,Larceny,Givens Hall,Givens Hall,"Givens Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,260162,27820,,,,,,,,,,,,
9,"April 15, 2026",04/15/2026 at 12:28 PM,04/15/2026 at 12:23 PM,2026,Aggravated Assault,Aggravated Assault,Skinker Blvd,Skinker Blvd,"Skinker Blvd, St. Louis, MO",Assisted SLMPD with an aggravated assault.,Referred to SLMPD,26-04-15-015852,27815,,,,,,,,,,,,
9,"April 13, 2026",04/14/2026 at 8:42 AM,04/13/2026 at 11:06 AM,2026,Larceny,Larceny,Ursa's Fireside,Ursa's Fireside,"Ursa's Fireside, Washington University in St. Louis, MO",Complainant reports theft of consumable goods.,Active,260155,27813,,,,,,,,,,,,
9,"April 12, 2026",04/12/2026 at 12:09 PM,04/12/2026 at 12:09 PM,2026,Auto Accident – Leave The Scene,Auto Accident – Leave The Scene,Shepley Garage,Shepley Garage,"Shepley Garage, Washington University in St. Louis, MO",Complainant reports leaving the scene of an auto accident.,Active,26-04-12-015429,27811,,,,,,,,,,,,
9,"April 10, 2026",04/10/2026 at 7:44 PM,04/10/2026 at 6:30 PM,2026,Trespass,Trespassing,Hillman Hall,Hillman Hall,"Hillman Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260149,27805,,,,,,,,,,,,
9,"April 2, 2026",04/01/2026 at 12:00 AM,04/02/2026 at 9:55 AM,2026,Larceny,Larceny,Schnucks Pavilion,Schnuck Pavilion,"Schnucks Pavilion, Washington University in St. Louis, MO",Complainant reports theft of computer equipment.,Active,260138,27789,,,,,,,,,,,,
9,"March 30, 2026",03/30/2026 at 7:27 PM,03/30/2026 at 7:39 AM,2026,Auto Accident – Leave The Scene,Auto Accident – Leave The Scene,West Campus,West Campus,"7425 Forsyth Blvd Basement, St. Louis, MO 63130",Assisted with a leaving the scene auto accident.,Referred to CPD,26-03-30-013347,27772,,,,,,,,,,,,
10,"March 30, 2026",05/27/2026 at 5:16 PM,03/30/2026 at 12:00 AM,2026,Larceny,Larceny,Koenig House,Koenig Dorm,"Koenig House, Washington University in St. Louis, MO",Complainant reports theft of bike.,Inactive,260212,28112,,,,,,,,,,,,
10,"March 29, 2026",03/29/2026 at 6:33 PM,03/29/2026 at 6:33 PM,2026,Accident – Leave The Scene,Accident – Leave The Scene,Shepley Drive,Shepley Drive,"Shepley Drive, Washington University in St. Louis, MO",Assisted CPD with leaving the scene of an auto accident.,Referred to CPD,26-03-29-013174,27768,,,,,,,,,,,,
10,"March 25, 2026",03/26/2026 at 12:17 AM,03/25/2026 at 6:30 PM,2026,Larceny,Larceny,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports theft of headphones.,Unfounded,260123,27762,,,,,,,,,,,,
10,"March 25, 2026",03/26/2026 at 2:53 PM,03/25/2026 at 5:00 PM,2026,Larceny,Larceny,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of bike.,Inactive,260126,27764,,,,,,,,,,,,
10,"March 24, 2026",03/24/2026 at 9:09 PM,03/24/2026 at 10:00 AM,2026,Larceny,Larceny,Frat House 8,Fraternity Row,"Fraternity Way, St. Louis, MO 63105",Complainant reports theft of music equipment.,Active,260121,27747,,,,,,,,,,,,
10,"March 23, 2026",03/23/2026 at 7:39 PM,03/23/2026 at 7:39 PM,2026,Larceny,Larceny,Kingsland Ave,Kingsland Ave,"Kingsland Ave, St. Louis, MO",Assisted UCPD with a larceny.,Referred to UCPD,26-03-23-012146,27749,,,,,,,,,,,,
10,"March 23, 2026",03/23/2026 at 9:31 AM,03/23/2026 at 11:14 AM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260114,27743,,,,,,,,,,,,
