Page,Date,Time_Reported,Time_Occurred,Incident_Type,Location,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,,,,,
8,"May 1, 2026",06/03/2026 at 4:26 PM,05/01/2026 at 12:00 PM,Larceny,Dauten Hall,Complainant reports theft of headphones.,Active,260214,28155,,,,,,,,,,,,,,,,
8,"April 29, 2026",04/29/2026 at 3:30 PM,04/29/2026 at 2:04 PM,Criminal Sexual Contact,Lien Hall,Complainant reports nonconsensual touch.,Pending,260203,28627,,,,,,,,,,,,,,,,
8,"April 27, 2026",04/30/2026 at 7:06 PM,04/27/2026 at 6:30 PM,Larceny,South Campus,Complainant reports theft of food.,Active,260188,27880,,,,,,,,,,,,,,,,
8,"April 25, 2026",04/25/2026 at 10:49 AM,04/25/2026 at 9:50 AM,Weapons Violation,Bears Den,Subject located in possession of weapons.,Cleared By Arrest,260177,27858,,,,,,,,,,,,,,,,
8,"April 24, 2026",04/24/2026 at 9:42 AM,04/24/2026 at 9:42 AM,Stalking,Danforth Campus,Complainant reports concerning communication.,Active,260173,27856,,,,,,,,,,,,,,,,
9,"April 21, 2026",04/21/2026 at 2:10 PM,04/21/2026 at 2:05 PM,Larceny,Forsyth Blvd,Assisted CPD with a larceny.,Referred to CPD,26-04-21-016791,27849,,,,,,,,,,,,,,,,
9,"April 20, 2026",04/22/2026 at 3:03 PM,04/20/2026 at 11:00 AM,Harassment,Danforth Campus,Complainant reports concerning communication.,Active,260172,27854,,,,,,,,,,,,,,,,
9,"April 18, 2026",04/18/2026 at 10:13 PM,04/18/2026 at 6:00 PM,Motor Vehicle Theft,Givens Hall,Complainant reports theft of electric scooter.,Active,260162,27818,,,,,,,,,,,,,,,,
9,"April 18, 2026",04/18/2026 at 10:13 PM,04/18/2026 at 6:00 PM,Larceny,Givens Hall,Complainant reports theft of bike.,Active,260162,27820,,,,,,,,,,,,,,,,
9,"April 15, 2026",04/15/2026 at 12:28 PM,04/15/2026 at 12:23 PM,Aggravated Assault,Skinker Blvd,Assisted SLMPD with an aggravated assault.,Referred to SLMPD,26-04-15-015852,27815,,,,,,,,,,,,,,,,
9,"April 13, 2026",04/14/2026 at 8:42 AM,04/13/2026 at 11:06 AM,Larceny,Ursa's Fireside,Complainant reports theft of consumable goods.,Active,260155,27813,,,,,,,,,,,,,,,,
9,"April 12, 2026",04/12/2026 at 12:09 PM,04/12/2026 at 12:09 PM,Auto Accident – Leave The Scene,Shepley Garage,Complainant reports leaving the scene of an auto accident.,Active,26-04-12-015429,27811,,,,,,,,,,,,,,,,
9,"April 10, 2026",04/10/2026 at 7:44 PM,04/10/2026 at 6:30 PM,Trespass,Hillman Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260149,27805,,,,,,,,,,,,,,,,
9,"April 2, 2026",04/01/2026 at 12:00 AM,04/02/2026 at 9:55 AM,Larceny,Schnucks Pavilion,Complainant reports theft of computer equipment.,Active,260138,27789,,,,,,,,,,,,,,,,
9,"March 30, 2026",03/30/2026 at 7:27 PM,03/30/2026 at 7:39 AM,Auto Accident – Leave The Scene,West Campus,Assisted with a leaving the scene auto accident.,Referred to CPD,26-03-30-013347,27772,,,,,,,,,,,,,,,,
10,"March 30, 2026",05/27/2026 at 5:16 PM,03/30/2026 at 12:00 AM,Larceny,Koenig House,Complainant reports theft of bike.,Inactive,260212,28112,,,,,,,,,,,,,,,,
10,"March 29, 2026",03/29/2026 at 6:33 PM,03/29/2026 at 6:33 PM,Accident – Leave The Scene,Shepley Drive,Assisted CPD with leaving the scene of an auto accident.,Referred to CPD,26-03-29-013174,27768,,,,,,,,,,,,,,,,
10,"March 25, 2026",03/26/2026 at 12:17 AM,03/25/2026 at 6:30 PM,Larceny,Danforth Campus,Complainant reports theft of headphones.,Unfounded,260123,27762,,,,,,,,,,,,,,,,
10,"March 25, 2026",03/26/2026 at 2:53 PM,03/25/2026 at 5:00 PM,Larceny,Olin Library,Complainant reports theft of bike.,Inactive,260126,27764,,,,,,,,,,,,,,,,
10,"March 24, 2026",03/24/2026 at 9:09 PM,03/24/2026 at 10:00 AM,Larceny,Frat House 8,Complainant reports theft of music equipment.,Active,260121,27747,,,,,,,,,,,,,,,,
10,"March 23, 2026",03/23/2026 at 7:39 PM,03/23/2026 at 7:39 PM,Larceny,Kingsland Ave,Assisted UCPD with a larceny.,Referred to UCPD,26-03-23-012146,27749,,,,,,,,,,,,,,,,
10,"March 23, 2026",03/23/2026 at 9:31 AM,03/23/2026 at 11:14 AM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260114,27743,,,,,,,,,,,,,,,,
10,"March 21, 2026",03/21/2026 at 10:40 PM,03/21/2026 at 9:20 PM,Motor Vehicle Theft,Dauten Dorm,Complainant reports theft of electric scooter.,Unfounded,260112,27721,,,,,,,,,,,,,,,,
10,"March 20, 2026",03/20/2026 at 4:02 PM,03/20/2026 at 4:02 PM,Harassment,Kemper Art Museum,Complainant reports concerning communication.,Closed,26-03-20-011648,27741,,,,,,,,,,,,,,,,
10,"March 18, 2026",03/18/2026 at 9:50 PM,03/18/2026 at 9:50 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260106,27715,,,,,,,,,,,,,,,,
11,"March 16, 2026",03/16/2026 at 9:36 PM,03/16/2026 at 7:30 PM,Larceny,Sumers Rec,Complainant reports theft of clothing.,Closed,260105,27708,,,,,,,,,,,,,,,,
11,"March 13, 2026",03/13/2026 at 2:21 PM,03/13/2026 at 2:21 PM,Larceny,McMillen Lab,Complainant reports theft of documents.,Active,26-03-13-010685,27711,,,,,,,,,,,,,,,,
11,"March 12, 2026",03/13/2026 at 9:28 PM,03/12/2026 at 10:30 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260102,27678,,,,,,,,,,,,,,,,
11,"March 11, 2026",03/30/2026 at 12:35 AM,03/11/2026 at 10:30 PM,Harassment,North Campus,"Complainant reports concerning communication,",Active,260131,27770,,,,,,,,,,,,,,,,
11,"March 11, 2026",03/11/2026 at 5:04 PM,03/11/2026 at 5:04 PM,Harassment,McPherson Ave,Assisted SLMPD with a harassment.,Referred to SLMPD,26-03-11-010399,27660,,,,,,,,,,,,,,,,
11,"March 11, 2026",03/11/2026 at 12:30 PM,03/11/2026 at 12:30 PM,Trespass,Bears Den,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260101,27672,,,,,,,,,,,,,,,,
11,"March 10, 2026",03/10/2026 at 9:07 AM,03/10/2026 at 9:07 AM,Larceny,Rebstock Hall,Complainant reports theft of purse.,Active,26-03-10-010223,27657,,,,,,,,,,,,,,,,
11,"March 9, 2026",03/09/2026 at 11:27 AM,03/09/2026 at 11:27 AM,Larceny,McPherson Ave,Assist SLMPD with a larceny.,Referred to SLMPD,26-03-09-010104,27655,,,,,,,,,,,,,,,,
11,"March 9, 2026",03/09/2026 at 3:01 AM,03/09/2026 at 3:01 AM,Trespass,Kingsland Ave,Assisted UCPD with a trespass.,Referred to UCPD,26-03-09-010038,27775,,,,,,,,,,,,,,,,
11,"March 7, 2026",03/18/2026 at 12:55 PM,03/07/2026 at 2:25 PM,Fraud,Kingshighway Blvd,Assisted SLMPD with a fraud.,Referred to SLMPD,260109,27717,,,,,,,,,,,,,,,,
12,"March 5, 2026",03/05/2026 at 8:55 PM,03/05/2026 at 8:40 PM,Larceny,Bears Den,Complainant reports theft of food.,Referred to Judicial,260098,27642,,,,,,,,,,,,,,,,
12,"March 5, 2026",03/05/2026 at 4:41 PM,03/05/2026 at 3:10 PM,Larceny,DUC,Complainant reports theft of food.,Inactive,26-03-05-009537,27646,,,,,,,,,,,,,,,,
12,"March 5, 2026",03/05/2026 at 1:43 PM,03/05/2026 at 1:20 PM,Larceny,Bears Den,Complainant reports theft of food.,Referred to Judicial,260096,27640,,,,,,,,,,,,,,,,
12,"March 5, 2026",03/05/2026 at 11:17 AM,03/05/2026 at 11:17 AM,Auto Accident – Leave The Scene,DUC,Complainant reports vehicle damage from car accident.,Active,26-03-05-009491,27648,,,,,,,,,,,,,,,,
12,"March 3, 2026",03/03/2026 at 10:43 PM,03/03/2026 at 10:43 PM,Property Destruction,Hillman Hall,Complainant reports damage to stairs.,Cleared By Arrest,260095,27638,,,,,,,,,,,,,,,,
12,"February 28, 2026",02/28/2026 at 7:50 PM,02/28/2026 at 7:30 PM,Trespass,Graham Chapel,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260094,27614,,,,,,,,,,,,,,,,
12,"February 28, 2026",02/28/2026 at 7:01 PM,02/28/2026 at 7:01 PM,Larceny,DUC,Complainant reports theft of computer equipment.,Cleared By Arrest,260093,27609,,,,,,,,,,,,,,,,
12,"February 28, 2026",02/28/2026 at 5:23 PM,02/28/2026 at 4:35 PM,Larceny,Hillman Hall,Complainant reports theft of bike.,Active,260092,27607,,,,,,,,,,,,,,,,
12,"February 27, 2026",02/27/2026 at 8:56 AM,02/27/2026 at 8:56 AM,Trespass,Delmar Blvd,Assisted SLMPD with a trespass.,Referred to SLMPD,26-02-27-008393,27605,,,,,,,,,,,,,,,,
12,"February 25, 2026",02/25/2026 at 10:41 PM,02/25/2026 at 10:41 PM,Larceny,Olin Library,Complainant reports theft of money.,Inactive,260088,27611,,,,,,,,,,,,,,,,
13,"February 25, 2026",02/26/2026 at 1:13 PM,02/25/2026 at 4:10 PM,Auto Accident – Leave The Scene,West Campus,Assisted UCPD with a leaving the scene auto accident.,Referred to UCPD,26-02-26-008261,27603,,,,,,,,,,,,,,,,
13,"February 24, 2026",02/24/2026 at 4:08 PM,02/24/2026 at 4:08 PM,Trespass,Walker Hall,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260083,27597,,,,,,,,,,,,,,,,
13,"February 24, 2026",02/24/2026 at 9:08 AM,02/24/2026 at 9:08 AM,Terrorist Threat,Danforth Campus,Complainant reports armed individual.,Active,260082,27595,,,,,,,,,,,,,,,,
13,"February 24, 2026",02/24/2026 at 3:17 AM,02/24/2026 at 3:17 AM,Trespass,West Campus,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260081,27601,,,,,,,,,,,,,,,,
13,"February 21, 2026",02/21/2026 at 1:14 PM,02/21/2026 at 11:14 AM,Larceny,Olin Library,Complainant reports theft of tech equipment.,Inactive,270076,27558,,,,,,,,,,,,,,,,
13,"February 20, 2026",02/20/2026 at 9:17 PM,02/20/2026 at 9:17 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260074,27556,,,,,,,,,,,,,,,,
13,"February 19, 2026",02/19/2026 at 12:30 PM,02/19/2026 at 5:44 PM,Larceny,Delmar Blvd,Assisted SLMPD with a larceny.,Referred to SLMPD,26-02-19-007191,27599,,,,,,,,,,,,,,,,
13,"February 18, 2026",02/19/2026 at 12:46 AM,02/18/2026 at 9:54 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260069,27554,,,,,,,,,,,,,,,,
13,"February 18, 2026",02/18/2026 at 5:54 PM,02/18/2026 at 5:54 PM,Property Destruction,Pershing Ave,Assisted SLMPD with a property destruction.,Referred to SLMPD,26-02-18-007033,27547,,,,,,,,,,,,,,,,
13,"February 16, 2026",02/16/2026 at 9:04 PM,02/16/2026 at 9:04 PM,Trespass,Danforth Campus,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260065,27545,,,,,,,,,,,,,,,,
14,"February 16, 2026",02/17/2026 at 10:05 AM,02/16/2026 at 4:00 PM,Larceny,Eliot House,Complainant reports theft of bike.,Unfounded,260066,27552,,,,,,,,,,,,,,,,
14,"February 16, 2026",02/16/2026 at 9:17 AM,02/16/2026 at 9:17 AM,Trespass,McKelvey Hall,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260062,27617,,,,,,,,,,,,,,,,
